,sentence,verdict,deka,y
170,พ่อมึงมีเมียน้อยหรา,ไม่ผิด,ไม่ระบุ,0
171,มีปม,ไม่ผิด,ไม่ระบุ,0
172,ไม่ได้อยู่สั่งสอนมึง,ไม่ผิด,ไม่ระบุ,0
173,น่าสมเพช,ไม่ผิด,ไม่ระบุ,0
174,อิเด็กเหี้ย,ไม่ผิด,ไม่ระบุ,0
175,ผมไปเอาอังเปาเองดีกว่าครับ,ไม่ผิด,ไม่ระบุ,0
176,กลัวได้เงินไม่ครบจังหรือไม่ได้จัง,ไม่ผิด,ไม่ระบุ,0
177,วันนี้คอยดูว่าพี่ศรีให้อังเปาผม 1 พันบาทเปล่า,ไม่ผิด,ไม่ระบุ,0
178,หน้าด้าน,ไม่ผิด,ไม่ระบุ,0
179,เค้ากล่าวหาเราว่าเป็นคนทำในสิ่งที่เราไม่ได้ทำ,ผิด,ไม่ระบุ,1
180,คิดว่าจะไม่กล้าโทรใช่มั้ย,ไม่ผิด,ไม่ระบุ,0
181,รู้จักกุน้อยไป,ไม่ผิด,ไม่ระบุ,0
182,อยากรู้จักครอบครัวชูชก,ไม่ผิด,ไม่ระบุ,0
183,จะไม่หลงกลกันเชื่อพวกมันค่ะ,ไม่ผิด,ไม่ระบุ,0
184,เมียน้อยยืนหนึ่งต้องยกให้เธอ,ผิด,ไม่ระบุ,1
185,เมื่อเข้าวงการเป็นเมียน้อยเต็มตัว ก็อย่าอายที่จะประกาศจุดยืน,ผิด,ไม่ระบุ,1
186,#ตั้งแต่มีข่าวเรื่องเมียน้อยเมียหลวงเต็มฟิตข่าวถึงกับปิดเฟสเลยเนอะ,ไม่ผิด,ไม่ระบุ,0
187,ยอมสถาปนาตัวเองมาเป็นเมียน้อยในครอบครัวคนอื่น,ผิด,ไม่ระบุ,1
188,ต้องลาออกจากการเป็นเมียน้อยที่เข้ามาทำลายครอบครัวชีวิตคนอื่น,ผิด,ไม่ระบุ,1
189,ใช่ๆเมื่อคืนเราเห็นเหมือนกัน เราก็คิดว่าอีหยังวะ,ไม่ผิด,ไม่ระบุ,0
190,เรากดออกเลย,ไม่ผิด,ไม่ระบุ,0
191,ไอ้เหี้ย,ไม่ผิด,ไม่ระบุ,0
192,ไอ้สัตว์,ไม่ผิด,ไม่ระบุ,0
193,ปัญญาอ่อน,ไม่ผิด,ไม่ระบุ,0
194,คงไม่มีใครอยากให้มาวิพากษ์วิจารณ์งานแต่งงาน ,ไม่ผิด,ไม่ระบุ,0
195,ไม่ใช่วิธีการสืบหาทำลายชีวิตแฟนเก่าให้พังไปกับคุณ,ไม่ผิด,ไม่ระบุ,0
196,ก็รอเจอเราเวอร์ชั่นหลังจากนี้ก็ได้ค่ะ ,ไม่ผิด,ไม่ระบุ,0
197,บ้านนี้เลี้ยงหมาปล่อยให้เหม็นขี้,ไม่ผิด,ไม่ระบุ,0
198,สกปรกมาก,ไม่ผิด,ไม่ระบุ,0
199,อีแก่บ้าน้ำลาย,ไม่ผิด,ไม่ระบุ,0
200,ปัญญาอ่อน,ไม่ผิด,ไม่ระบุ,0
201,ไอเหี้ย,ไม่ผิด,ไม่ระบุ,0
202,อิจฉาว่างั้น,ไม่ผิด,ไม่ระบุ,0
203,คนที่เรียนวันที่ 7 มีนาไปโพสต์ตอบมันหน่อยดิว่ากูไม่ได้สอนกราฟหรอ,ไม่ผิด,ไม่ระบุ,0
204,ไอ้สัตว์,ไม่ผิด,ไม่ระบุ,0
205,เด็กน้อย ริอาจเหลือเกิน,ไม่ผิด,ไม่ระบุ,0
206,มีการแคปเฟสด้วย ปล่อยเขาไปครับ,ไม่ผิด,ไม่ระบุ,0
207,เด่วกูจะเข้าไปดู กลุ่มแรกๆที่แบนกูไป ไปโพสต์บอกมันด้วย,ไม่ผิด,ไม่ระบุ,0
208,คือสิ่งที่กูจะให้มึง,ไม่ผิด,ไม่ระบุ,0
209,ทำทรงเฟียสแต่ตัวจริงอย่างหมา,ไม่ผิด,ไม่ระบุ,0
